RDMA MTP: Optimizing for 256 threads
[server req_recv] t=1007282548 ns reqId=9000005 size=17B client_node_id=9
[client req_send] t=1007284720 ns reqId=11000005 size=17B client_node_id=11
[server req_recv] t=1007288032 ns reqId=11000005 size=17B client_node_id=11
[server resp_send] t=1254310702 ns reqId=4000005 size=41B client_node_id=4
[client resp_recv] t=1254311844 ns reqId=4000005 size=41B client_node_id=4
[client hand_send] t=1254311844 ns reqId=4000005 size=10B client_node_id=4
[server hand_recv] t=1254312986 ns reqId=4000005 size=10B client_node_id=4
[server rdma_send] t=1254462986 ns reqId=4000005 size=204808B client_node_id=4
[client rdma_recv] t=1254635944 ns reqId=4000005 size=204808B client_node_id=4
[client req_send] t=1254638444 ns reqId=4000006 size=17B client_node_id=4
[server req_recv] t=1254639548 ns reqId=4000006 size=17B client_node_id=4
[server resp_send] t=1256461914 ns reqId=1000005 size=41B client_node_id=1
[client resp_recv] t=1256464198 ns reqId=1000005 size=41B client_node_id=1
[client hand_send] t=1256464198 ns reqId=1000005 size=10B client_node_id=1
[server hand_recv] t=1256466436 ns reqId=1000005 size=10B client_node_id=1
[server rdma_send] t=1256616436 ns reqId=1000005 size=204808B client_node_id=1
